name,label,locationname,elevation,locationglobalid,active,display,locationmpname
TO PVC casing,TO PVC casing,Quintette SZ,1.6,{0D076D1B-4688-440C-A468-4F70079B37CB},Yes,,Quintette SZ - TO PVC casing
Top of sanitary seal,Top of sanitary seal,EAFB Site C-62,216.18,{7E4D34B2-B107-4EF4-8764-B7ADA48F7C0E},Yes,,EAFB Site C-62 - Top of sanitary seal
Hole in TO well cap,Hole in TO well cap,USGS Th-13,1.89,{134C1D2B-DD1B-4E8B-A385-ED5CD2F7F7EE},Yes,,USGS Th-13 - Hole in TO well cap
TO 6 inch protective casing,TO 6 inch protective casing,USGS #39/Homer Hirt,1.72,{BEA17F39-945A-4046-B1E0-647A94605DC6},Yes,,USGS #39/Homer Hirt - TO 6 inch protective casing
TO 4 inch valve flange at plug base,TO 4 inch valve flange at plug base,USGS-Whiting Lower Floridan,6,{5C8DDAF2-7DD6-410A-8C6B-A4427BC73FC1},Yes,,USGS-Whiting Lower Floridan - TO 4 inch valve flange at plug base
TO PVC slip coupling,TO PVC slip coupling,Holt #1,2.26,{44DB7468-E00A-40D2-923D-F3CB0747BD91},Yes,,Holt #1 - TO PVC slip coupling
Hole with copper airline,Hole with copper airline,Ponce De Leon #2,1.4,{2711E5EF-FACE-4D60-96B6-6F0683DD2DE2},Yes,,Ponce De Leon #2 - Hole with copper airline
TO steel casing,TO steel casing,Argyle Tower,0.2,{A74BA51B-FB36-484A-BF06-6236CB3B9D97},Yes,,Argyle Tower - TO steel casing
TO sanitary seal at plug,TO sanitary seal at plug,Gladys Workman,0.31,{43DDB840-5459-4723-9679-F9F03FFDF4F3},Yes,,Gladys Workman - TO sanitary seal at plug
TO vent hole,TO vent hole,State Hatchery #3,1.58,{997F99F9-C181-4F9D-8067-D04E148626B7},Yes,,State Hatchery #3 - TO vent hole
TO 4 inch steel casing,TO 4 inch steel casing,International Paper @ Cypress,167.31,{2111C83F-A008-485B-B824-0FF48118DAA8},Yes,,International Paper @ Cypress - TO 4 inch steel casing
TO sanitary seal,TO sanitary seal,Billy Miller,0.6,{3862F307-2F9F-4D15-A836-2EEE3482B28C},Yes,,Billy Miller - TO sanitary seal
TO sanitary seal,TO sanitary seal,Daisy Pond,1.1,{75FF8598-9FD7-4209-9AB6-86700B27144A},Yes,,Daisy Pond - TO sanitary seal
Hole in base of turbine pump,Hole in base of turbine pump,Crestview #4,1.57,{F7888C24-C4C4-48AE-A32A-6CD8F790BBD0},Yes,,Crestview #4 - Hole in base of turbine pump
TO sanitary seal,TO sanitary seal,William Fisher,0.92,{4A76A77C-E2C3-4108-BDD8-5A535C5205A7},Yes,,William Fisher - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,Red Rock Deep,3.35,{3666D991-DFB8-44D0-A0FD-254802307124},Yes,,Red Rock Deep - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Red Rock Shal,2.5,{612972CD-A35F-4D94-917F-E6F144AB4117},Yes,,Red Rock Shal - TO 4 inch PVC casing
Plug hole on south side of pump base,Plug hole on south side of pump base,Bonifay #2,1.9,{CA64933A-75B9-4614-98A0-0B005E5575B4},Yes,,Bonifay #2 - Plug hole on south side of pump base
Water level access pipe near pump base,Water level access pipe near pump base,Cottondale #3,1.37,{6E00F686-215F-467D-932B-1DF3C26AD59B},Yes,,Cottondale #3 - Water level access pipe near pump base
TO sanitary seal,TO sanitary seal,W.R. Buckhalter,1.5,{D3DECE82-ECAC-4CAA-A421-7651311AE0DC},Yes,,W.R. Buckhalter - TO sanitary seal
TO sanitary seal,TO sanitary seal,Francis Rettig 4-Inc,1,{0063C57C-6AF8-416E-A797-379C68F237BA},Yes,,Francis Rettig 4-Inc - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,Dogwood Park Deep MPZ,1.6,{09536AF4-8F31-406D-A1E0-F04B7CF98F23},Yes,,Dogwood Park Deep MPZ - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Dogwood Park MPZ,1.9,{815A393C-821A-41EB-BF3D-89B30CC82DD8},Yes,,Dogwood Park MPZ - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Baxter Sand Pit Visa,130.44,{851BD6BA-0395-4DF2-94E1-F476443C68E4},Yes,,Baxter Sand Pit Visa - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,C. Householder,1,{4192D404-F49E-475B-8578-D8C1C4D4BD66},Yes,,C. Householder - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,*** PITTMAN VISA WELL***,128.76,{E1511907-7A68-44ED-924A-14689174539E},Yes,,*** PITTMAN VISA WELL*** - TO 4 inch PVC casing
TO 3 inch plug,TO 3 inch plug,Prosperity Tower,0.16,{DC3139D4-6B99-4E6C-BA98-C6316E48A223},Yes,,Prosperity Tower - TO 3 inch plug
Plug hole on side of turbine,Plug hole on side of turbine,Munson Nursery,1.91,{C7C4DE55-CA69-4126-A910-9A3566041108},Yes,,Munson Nursery - Plug hole on side of turbine
TO PVC casing,TO PVC casing,Allen Tower Deep,2,{6C42C645-655C-4F1E-9E4E-2F3E20380CAB},Yes,,Allen Tower Deep - TO PVC casing
TO PVC casing,TO PVC casing,Allen Tower Intermed.,1.4,{68CEC9DC-3BB9-40CA-8789-CFE6AF3DE3EE},Yes,,Allen Tower Intermed. - TO PVC casing
TO PVC casing,TO PVC casing,Allen Tower Shallow,1.8,{AAEB8644-20C2-453C-99C8-0654E095D6D1},Yes,,Allen Tower Shallow - TO PVC casing
Top of lock rim,Top of lock rim,***2 EGG AMBIENT #3***,123.19,{10E98DE0-E831-46E0-94E8-F496F85B150B},Yes,,***2 EGG AMBIENT #3*** - Top of lock rim
TO 4 inch PVC casing,TO 4 inch PVC casing,Oak Grove Deep MPZ,3,{31447EA3-8438-42E4-9D87-70BAFD9FEC98},Yes,,Oak Grove Deep MPZ - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Oak Grove MPZ,2.5,{16134106-DCBF-41D8-B60A-54356C46D637},Yes,,Oak Grove MPZ - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Oak Grove SZ,2.13,{DD56E36D-8ADD-4838-AC6F-36529C088B67},Yes,,Oak Grove SZ - TO 2 inch PVC casing
TO sanitary seal,TO sanitary seal,Elton Crutchfield,0.8,{8BDEF35D-4DA4-4E02-A3B0-9310624CF4D8},Yes,,Elton Crutchfield - TO sanitary seal
Top of lock rim,Top of lock rim,Hwy 71 N of Malone,145.98,{2C226088-1C4E-4FCF-8764-7CB08807E3E9},Yes,,Hwy 71 N of Malone - Top of lock rim
TO 4 inch steel casing,TO 4 inch steel casing,Ditty JC-3 (JK-30),155.76,{16368B5D-4F53-4A69-ABA7-16708726A55A},Yes,,Ditty JC-3 (JK-30) - TO 4 inch steel casing
TO sanitary seal,TO sanitary seal,Ditty JC-1 (JK-28),0.75,{5F22F7C4-CF9F-4087-9DCA-5823FCEF38B6},Yes,,Ditty JC-1 (JK-28) - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,Esto Floridan,2.73,{E13B5F21-D166-4875-8C36-D4686B49F5F8},Yes,,Esto Floridan - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Esto Intermed,3.11,{4628E46C-21CC-4905-991B-C7F0633CB36E},Yes,,Esto Intermed - TO 2 inch PVC casing
Hole in steel cap,Hole in steel cap,Camp Henderson,2.5,{8A6837CF-18AE-465A-A5A4-B246616A3F2F},Yes,,Camp Henderson - Hole in steel cap
Top of 4 inch steel protective casing,Top of 4 inch steel protective casing,EAFB Field #4 (S&G),91.44,{F8B6895B-D1B5-473C-9DB7-029E9D3AE1AE},Yes,,EAFB Field #4 (S&G) - Top of 4 inch steel protective casing
TO 2 inch PVC casing,TO 2 inch PVC casing,FGS-TRAPP POND SURFICIAL,167.5,{FD33882D-A1FD-483E-80FC-9DD97CA4DFE0},Yes,,FGS-TRAPP POND SURFICIAL - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,FGS-Pine Log Forest,77.7,{F94AA6F9-8E83-4272-8D84-2F778CB271BB},Yes,,FGS-Pine Log Forest - TO 4 inch PVC casing
TO 4 inch steel casing,TO 4 inch steel casing,Trapp Pond Floridan,168.7,{36245596-7D4A-47DC-9E33-5F350F6ACF04},Yes,,Trapp Pond Floridan - TO 4 inch steel casing
TO 4 inch steel casing,TO 4 inch steel casing,NWFWMD-Power Line,104.28,{535330F4-589D-4638-957F-457107C7C4B4},Yes,,NWFWMD-Power Line - TO 4 inch steel casing
TO 4 inch PVC casing,TO 4 inch PVC casing,George'S 40,107.49,{7B287947-BEAD-4E0A-8007-C234FBE1C681},Yes,,George'S 40 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Porter Pond East,138.84,{5F5F2975-5E2C-4ADB-A606-B063F13DFA0A},Yes,,Porter Pond East - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,NWFWMD Section 20,138.38,{93586E02-6BB4-4BA0-A978-0BF0054A2645},Yes,,NWFWMD Section 20 - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,Duren,1.45,{63FB2A1A-F6ED-4916-93ED-3B08B3B37622},Yes,,Duren - TO sanitary seal
TO 0.75 inch galvanized access pipe,TO 0.75 inch galvanized access pipe,Wausau #1,2,{EF37FE7F-C421-4A9B-9141-98819FF5CEE8},Yes,,Wausau #1 - TO 0.75 inch galvanized access pipe
Top of sanitary seal,Top of sanitary seal,EAFB NCO #71,11.2,{D245E3B7-F322-42C4-BDB0-B0F1A2F105DC},Yes,,EAFB NCO #71 - Top of sanitary seal
TO vent pipe closest to door,TO vent pipe closest to door,Crestview #6,1.29,{249C034D-5E63-4851-A7B0-473B185B2EFF},Yes,,Crestview #6 - TO vent pipe closest to door
TO 12 inch steel casing N side,TO 12 inch steel casing N side,Walter Pecevich,1.22,{06A5305A-C707-4ACF-8E70-FB14AC3558C6},Yes,,Walter Pecevich - TO 12 inch steel casing N side
Edge of casing N side,Edge of casing N side,ECUA Sorrento MW-2W,0.9,{F91113F7-ADAA-4797-AFE4-821B5980D611},Yes,,ECUA Sorrento MW-2W - Edge of casing N side
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #1,18.85,{FF7D8FE5-B10D-43E1-9479-B6E0838A2309},Yes,,Nitrate #1 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #2,18.58,{82AE01DE-C5E2-4D1D-BBEB-D004AB616359},Yes,,Nitrate #2 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #3,14.43,{86EABB4C-8A6C-4EF0-AF9B-48F30C7F2E65},Yes,,Nitrate #3 - TO 4 inch PVC casing
TO well,TO well,Nitrate #4,14.8,{AF02DE01-BC15-40A6-9E5A-4FD408B70EBB},Yes,,Nitrate #4 - TO well
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #5,30.85,{8D98D973-559C-4A72-928C-2964C8BE4B96},Yes,,Nitrate #5 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,Nitrate #6,29.66,{A50F7A22-B21A-42AD-9F72-DF9EE200E102},Yes,,Nitrate #6 - TO 4 inch PVC casing
Hole in top of 4 inch steel casing,Hole in top of 4 inch steel casing,Liza Jackson,7.82,{D8212DB0-11B1-4FF0-94A3-25E1D8EBFDB1},Yes,,Liza Jackson - Hole in top of 4 inch steel casing
TO 6 inch steel casing N side,TO 6 inch steel casing N side,Tiger Point,-0.4,{CD50FF31-9F05-482C-904C-F5ADDA42DC58},Yes,,Tiger Point - TO 6 inch steel casing N side
TO 8 inch protective steel casing,TO 8 inch protective steel casing,Seagrove Shallow Floridan,36.81,{078953B8-EE3C-4AD3-B941-6EDE3B961866},Yes,,Seagrove Shallow Floridan - TO 8 inch protective steel casing
TO 2 inch PVC casing,TO 2 inch PVC casing,FGS- Hq Intermediate,202.25,{0E4E18EE-9237-4775-9BE5-1D13EC0263F3},Yes,,FGS- Hq Intermediate - TO 2 inch PVC casing
Ch square,Ch square,Munson Slough @ Oak Ridge Road,22.96,{6C0BDCEE-C454-424D-8E72-38BC6277FD42},Yes,,Munson Slough @ Oak Ridge Road - Ch square
FDOT bass survey disk,FDOT bass survey disk,Munson Slough @ Oak Ridge Road,23,{C11D24C4-4348-4EC6-8021-26FB32476439},Yes,,Munson Slough @ Oak Ridge Road - FDOT bass survey disk
TO 10 inch protective steel casing,TO 10 inch protective steel casing,Seagrove Deep,37.8,{CE7DD621-189E-4148-B1B8-35662A1985DA},Yes,,Seagrove Deep - TO 10 inch protective steel casing
1 inch steel pipe,1 inch steel pipe,Ames Sink,8.83,{942FFBAD-1C5A-4879-B44E-BA8BD363B4A8},Yes,,Ames Sink - 1 inch steel pipe
1st transducer anchor pipe from junction LB,1st transducer anchor pipe from junction LB,Ames Sink,12.62,{93E60CEA-B65B-49F1-82DD-499921FAD8B5},Yes,,Ames Sink - 1st transducer anchor pipe from junction LB
Metal disk 005 next to junction box,Metal disk 005 next to junction box,Ames Sink,16.56,{11FFCA88-E18E-44D0-9D83-4F8A4BD197E4},Yes,,Ames Sink - Metal disk 005 next to junction box
RR Spike in Antenna pole,RR Spike in Antenna pole,Ames Sink,24.78,{F4880DAE-E7AD-49D5-BC45-061407DC49E1},Yes,,Ames Sink - RR Spike in Antenna pole
Ch square on bridge,Ch square on bridge,Black Creek @ SR 267,38.47,{490D18F2-5A90-46A0-8126-479DCB4E7723},Yes,,Black Creek @ SR 267 - Ch square on bridge
Metal pipe below conduit- under water,Metal pipe below conduit- under water,Garnier creek @ Blue Barnes Rd.,10,{5D6D48A3-3AE3-40AD-B13B-ECA7992E53A9},Yes,,Garnier creek @ Blue Barnes Rd. - Metal pipe below conduit- under water
High Water Nail in Tree,High Water Nail in Tree,*** ECONFINA CREEK ABOVE GAINER***,27.16,{819D7D77-3064-4246-92B2-E844FE31B3C8},Yes,,*** ECONFINA CREEK ABOVE GAINER*** - High Water Nail in Tree
Staff,Staff,*** ECONFINA CREEK ABOVE GAINER***,10,{F3F185DE-9CAB-4C7D-89BC-B97B1C93E5E7},Yes,,*** ECONFINA CREEK ABOVE GAINER*** - Staff
Top of Staff,Top of Staff,*** ECONFINA CREEK ABOVE GAINER***,19.7,{955A28D8-EA6F-4CBD-B150-04911E4539F0},Yes,,*** ECONFINA CREEK ABOVE GAINER*** - Top of Staff
1st 2 inch galvanized pipe,1st 2 inch galvanized pipe,***ECONFINA CREEK BELOW GAINER***,14.95,{FD6C0AFE-1D03-45B3-B4D8-5B791D883AAD},Yes,,***ECONFINA CREEK BELOW GAINER*** - 1st 2 inch galvanized pipe
2nd 2 inch galvanized pipe,2nd 2 inch galvanized pipe,***ECONFINA CREEK BELOW GAINER***,12.95,{1E7F3213-361A-46FD-BDA4-2911F03AA4D5},Yes,,***ECONFINA CREEK BELOW GAINER*** - 2nd 2 inch galvanized pipe
High Water Nail in Tree,High Water Nail in Tree,***ECONFINA CREEK BELOW GAINER***,26.94,{6B7F6E39-E566-4E95-B12A-2EE071A3BCA4},Yes,,***ECONFINA CREEK BELOW GAINER*** - High Water Nail in Tree
Staff,Staff,***ECONFINA CREEK BELOW GAINER***,10,{58B2CC85-91DE-4451-BBF9-12DB6C4B4540},Yes,,***ECONFINA CREEK BELOW GAINER*** - Staff
Top of Staff,Top of Staff,***ECONFINA CREEK BELOW GAINER***,19.51,{26501ED8-F097-43B7-88E5-17DCFBC8B094},Yes,,***ECONFINA CREEK BELOW GAINER*** - Top of Staff
TO 2 inch PVC casing,TO 2 inch PVC casing,FGS-TRAPP POND INTERMEDIATE,164.2,{9CC3F514-471F-4BF6-B5A6-D3D129116A85},Yes,,FGS-TRAPP POND INTERMEDIATE - TO 2 inch PVC casing
Metal pipe below conduit pipe- under water,Metal pipe below conduit pipe- under water,Burnt Grocery Creek,10,{3F73CADE-99AB-445C-9558-B2777298ADFF},Yes,,Burnt Grocery Creek - Metal pipe below conduit pipe- under water
TO locking cap,TO locking cap,Eastpoint WWTF MW#6,27.95,{85ED800A-4395-4B21-BB18-82FBCC4C1501},Yes,,Eastpoint WWTF MW#6 - TO locking cap
TO PVC casing north side,TO PVC casing north side,Eastpoint WWTF MW#6,2.65,{90FEDC96-618C-41B7-9BDF-2834112F656F},Yes,,Eastpoint WWTF MW#6 - TO PVC casing north side
TO threaded nipple,TO threaded nipple,EAFB Housing #16A,2.43,{71DB72B0-60C4-4AF2-8911-6950D911A53D},Yes,,EAFB Housing #16A - TO threaded nipple
TO 2 inch PVC casing,TO 2 inch PVC casing,Sand & Gravel NW-5D,218.94,{DE217FA0-16EA-44E8-9BBA-A8B6964FA38E},Yes,,Sand & Gravel NW-5D - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Sand & Gravel MW-5S,219.1,{3547D3AF-BA8A-4894-88D9-10120C50B6F2},Yes,,Sand & Gravel MW-5S - TO 2 inch PVC casing
2 inch access pipe with cap on East side of turbine pump,2 inch access pipe with cap on East side of turbine pump,Apalachicola #5,2.83,{2259EE4A-7509-4C27-B66D-802AC482A350},Yes,,Apalachicola #5 - 2 inch access pipe with cap on East side of turbine pump
TO PVC casing north side,TO PVC casing north side,Apalachicola #5 Surf,3.41,{4A73E887-38EE-404F-9539-8478BA7C8393},Yes,,Apalachicola #5 Surf - TO PVC casing north side
TO PVC casing,TO PVC casing,RU Cedar Street,188.87,{B93B8E0D-0181-421C-8C1B-BBC1C30875D2},Yes,,RU Cedar Street - TO PVC casing
TO 4 inch steel casing,TO 4 inch steel casing,Wakulla Correctional Institute #1,21.3,{D2D9A848-B7D1-400B-80C7-4FB566138201},Yes,,Wakulla Correctional Institute #1 - TO 4 inch steel casing
TO 4 inch steel casing,TO 4 inch steel casing,NWFWMD- Old Plank #1,2.22,{9A1407B2-A652-493B-B77A-B16B785171D9},Yes,,NWFWMD- Old Plank #1 - TO 4 inch steel casing
1 inch steel pipe attached to transducer conduit,1 inch steel pipe attached to transducer conduit,Munson Slough @ Cap Cir,25.94,{FD016694-58B4-495A-8CBB-930E1EA094A5},Yes,,Munson Slough @ Cap Cir - 1 inch steel pipe attached to transducer conduit
1.25 inch galv pipe,1.25 inch galv pipe,Munson Slough @ Cap Cir,27.88,{1B64B475-E1A4-451A-A664-2881643C8EE8},Yes,,Munson Slough @ Cap Cir - 1.25 inch galv pipe
Staff,Staff,Munson Slough @ Cap Cir,24.85,{3B8B91E1-5D5D-42D0-A9B1-CA327A54423D},Yes,,Munson Slough @ Cap Cir - Staff
Staff inside of East culvert,Staff inside of East culvert,W Drainage Ditch @ W Tenn,1.91,{3F2DEA41-E8F6-4A77-B189-C0C4210D95F1},Yes,,W Drainage Ditch @ W Tenn - Staff inside of East culvert
Aluminum angle on station,Aluminum angle on station,Alford Arm Trib @ Micc. Rd,63.54,{E5E3D6E9-DF0F-4AF3-9017-F62CCA4D0B72},Yes,,Alford Arm Trib @ Micc. Rd - Aluminum angle on station
Alum angle,Alum angle,Alford Arm Trib @ Buck Lake,53.17,{CF14D9CC-6933-4E45-B44F-2770427BC897},Yes,,Alford Arm Trib @ Buck Lake - Alum angle
Angled bracket 6ft Right of station,Angled bracket 6ft Right of station,Central DD @ Orange Ave,44.02,{2A728720-966D-4317-8C98-AE04FB19F848},Yes,,Central DD @ Orange Ave - Angled bracket 6ft Right of station
Alum Angle,Alum Angle,W DD @ Roberts Ave,52.74,{33CB7C65-DEE5-4ABF-B87E-0AC95451B391},Yes,,W DD @ Roberts Ave - Alum Angle
Ch Square 8ft west of alum angle,Ch Square 8ft west of alum angle,W DD @ Roberts Ave,52.86,{B64AC6E4-FAF0-47C3-A761-960A325DF645},Yes,,W DD @ Roberts Ave - Ch Square 8ft west of alum angle
Low Water 1.25 inch Pipe,Low Water 1.25 inch Pipe,W DD @ Roberts Ave,38.98,{52D17B15-6725-4B0E-B4B4-DDF5225F744E},Yes,,W DD @ Roberts Ave - Low Water 1.25 inch Pipe
Ch Square on downstream headwall,Ch Square on downstream headwall,Lake Kanturk Outfall (11301 / S618),81.82,{79DF9B05-4182-40F9-B5F5-4B4A6398DB0B},Yes,,Lake Kanturk Outfall (11301 / S618) - Ch Square on downstream headwall
Ch Square on bridge,Ch Square on bridge,Lake Lafayette Outfall,47.55,{19D8FEFF-6B19-4AF2-9380-416D43EB6757},Yes,,Lake Lafayette Outfall - Ch Square on bridge
Ch Square- East 5ft of station,Ch Square- East 5ft of station,NE DD @ Mahan,56.02,{DE84B714-BC29-493C-BEFA-AEB9A56FF952},Yes,,NE DD @ Mahan - Ch Square- East 5ft of station
1.75 inch pipe,1.75 inch pipe,Park Ave DD @ Violet,61.67,{90151A00-F10A-4A21-B2C8-FF1375FEFA0B},Yes,,Park Ave DD @ Violet - 1.75 inch pipe
Staff,Staff,Park Ave DD @ Violet,59.49,{371D4912-08A9-4AB3-8B27-C9B75EB3DC12},Yes,,Park Ave DD @ Violet - Staff
Chiseled Square on lower headwall,Chiseled Square on lower headwall,E DD @ Adams,52.03,{FCB87D70-AEC2-4FFF-9C80-788EC7405029},Yes,,E DD @ Adams - Chiseled Square on lower headwall
Staff inside culvert,Staff inside culvert,E DD @ Adams,42.87,{B65C31C5-7534-4CA8-97FE-DA256CD82F7C},Yes,,E DD @ Adams - Staff inside culvert
Alum angle,Alum angle,Quincy Creek @ Sr 267,14.4,{6378C084-0E1C-4EF1-AD44-D1F50C182773},Yes,,Quincy Creek @ Sr 267 - Alum angle
Ch square on top headwall,Ch square on top headwall,Quincy Creek @ Sr 267,27.14,{5D802BDC-5C1E-4820-9FC0-3DCD498171B8},Yes,,Quincy Creek @ Sr 267 - Ch square on top headwall
Staff,Staff,Quincy Creek @ Sr 267,10,{74066786-E67C-484C-8134-64E3A2BABA9F},Yes,,Quincy Creek @ Sr 267 - Staff
Ch square,Ch square,Telogia Creek @ CR 65D,29.78,{80DCB757-E006-471B-8924-48CB540F0EB6},Yes,,Telogia Creek @ CR 65D - Ch square
Ch Square- left of station box,Ch Square- left of station box,***ECONFINA CREEK @ SR20***,17.51,{4B3B2C17-1953-477A-ADE5-C995606BB2F9},Yes,,***ECONFINA CREEK @ SR20*** - Ch Square- left of station box
Staff,Staff,***ECONFINA CREEK @ SR20***,0,{D0404F61-42D7-4450-9334-523DBDC02FB3},Yes,,***ECONFINA CREEK @ SR20*** - Staff
Staff,Staff,Little Bear Creek @ 388,0,{B745D189-F0E0-4EB3-9B13-BE10105B213D},Yes,,Little Bear Creek @ 388 - Staff
Staff,Staff,Econfina Scott Road,0,{82F646E3-CD4B-41E3-9FB8-31D0D99AE217},Yes,,Econfina Scott Road - Staff
Staff,Staff,***ECONFINA CREEK AT WALSINGHAM BRIDGE***,0,{B5EA5402-F1C1-4312-8433-A6839434A829},Yes,,***ECONFINA CREEK AT WALSINGHAM BRIDGE*** - Staff
Staff,Staff,Bear Creek @ US231,0,{8394CEAD-AEAB-4066-BB32-15BC3230E490},Yes,,Bear Creek @ US231 - Staff
TO sanitary seal,TO sanitary seal,FREEPORT PORTLAND TEST,0.75,{BA1C7B08-9793-4608-8ABB-17C445744878},Yes,,FREEPORT PORTLAND TEST - TO sanitary seal
TO 8 inch protective casing,TO 8 inch protective casing,***WAKULLA CONDUIT WELL@WEST OF HWY 61***,24.68,{BD64B11B-880A-4A53-93E7-CFFC2E3F9400},Yes,,***WAKULLA CONDUIT WELL@WEST OF HWY 61*** - TO 8 inch protective casing
TO PVC above steel piping and sanitary seal,TO PVC above steel piping and sanitary seal,Pleasant Valley Church,77.2,{AD4236C3-462C-43C4-948E-5EA335AC3B40},Yes,,Pleasant Valley Church - TO PVC above steel piping and sanitary seal
TO 12 inch protective casing,TO 12 inch protective casing,Tates Hell SF TH-2 Tractor Rd,25.04,{3A9E3A19-6439-4DF1-ADC4-A8CBCB2D601B},Yes,,Tates Hell SF TH-2 Tractor Rd - TO 12 inch protective casing
Top of 1 inch galvanized pipe nipple,Top of 1 inch galvanized pipe nipple,Tall Timbers Research,200,{2548E271-987F-4A84-8DB3-D28526717BF7},Yes,,Tall Timbers Research - Top of 1 inch galvanized pipe nipple
TO sanitary seal,TO sanitary seal,Pinnacle Port #1R,0.74,{78D3B5CB-6343-40A0-81D7-806CE1DD78FB},Yes,,Pinnacle Port #1R - TO sanitary seal
Ch square on bridge,Ch square on bridge,Fisher Creek Near Spring Hill SR 373,55.28,{D14D3A9A-E1A4-43D2-8111-ECBFC25F8F90},Yes,,Fisher Creek Near Spring Hill SR 373 - Ch square on bridge
TO 12 inch steel protective casing north side,TO 12 inch steel protective casing north side,Jeff Sanders Rd Th-4,2.72,{3E3115FB-E666-40EF-BF68-F82C4BF7BE01},Yes,,Jeff Sanders Rd Th-4 - TO 12 inch steel protective casing north side
TO 4 inch steel casing,TO 4 inch steel casing,Eastpoint #3 Deep MW-50D,18.58,{07834456-2ECA-42DD-970E-A8B4455704F2},Yes,,Eastpoint #3 Deep MW-50D - TO 4 inch steel casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Tates Hell SF THS-2 Tractor Rd Shallow,24.47,{A33962C3-C603-4BF7-9546-2B4EA1C671E5},Yes,,Tates Hell SF THS-2 Tractor Rd Shallow - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,THS-4,2.72,{2A2CB568-9600-41CD-9266-571DBB43D21C},Yes,,THS-4 - TO 2 inch PVC casing
TO sanitary seal,TO sanitary seal,JEMCO WELL,1.3,{16FFF331-4CF8-4C6A-B212-DD60E2B50054},Yes,,JEMCO WELL - TO sanitary seal
TO threaded pipe,TO threaded pipe,Eastpoint WSD #4,20.48,{04750232-D6EA-4451-A799-492CF8E26C1D},Yes,,Eastpoint WSD #4 - TO threaded pipe
TO 6 inch PVC casing,TO 6 inch PVC casing,NW Bay #1 UFA Monitor,85.07,{AC3A8D1C-6AA9-41C3-8598-83B8BC315818},Yes,,NW Bay #1 UFA Monitor - TO 6 inch PVC casing
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW Bay #1 IAS Monitor,93.06,{31134F6A-CD12-4F7F-9496-2BE05BEBE862},Yes,,NW Bay #1 IAS Monitor - TO hole in recorder mounting plate
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW Bay #1 SAS Monitor,93.39,{7F725E5D-D3E5-48AD-85FF-2F3BB42BCD0E},Yes,,NW Bay #1 SAS Monitor - TO hole in recorder mounting plate
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW BAY CTY - SITE #2 IAS MONITOR,83.92,{30BF0306-E650-426E-A918-5E74563CAA41},Yes,,NW BAY CTY - SITE #2 IAS MONITOR - TO hole in recorder mounting plate
TO 6 inch PVC casing,TO 6 inch PVC casing,NW BAY CTY - SITE #2 UFA MONITOR/S718,85,{9863439C-4984-4083-BF17-607159BFC0AD},Yes,,NW BAY CTY - SITE #2 UFA MONITOR/S718 - TO 6 inch PVC casing
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW BAY CTY - SITE #2 SAS MONITOR,84.04,{2DE2E32C-7496-477F-8320-9471CD24D493},Yes,,NW BAY CTY - SITE #2 SAS MONITOR - TO hole in recorder mounting plate
TO hole in recorder mounting plate,TO hole in recorder mounting plate,NW Bay #3 IAS Monitor,93.36,{2EFC6DCB-A7C3-4555-A3F8-9E3BD7175DED},Yes,,NW Bay #3 IAS Monitor - TO hole in recorder mounting plate
TO 2 inch PVC casing,TO 2 inch PVC casing,FRUS Piezometer #3AR,147.53,{07A5011D-D2C6-45A3-A540-DFCA1AB68081},Yes,,FRUS Piezometer #3AR - TO 2 inch PVC casing
