name,label,elevation,active,display,globalid,locationname,locationmpname
WSI rebar,WSI rebar,63.75,Yes,,{9BDD7AF8-FEC0-4367-8BC3-22E063FAC4D8},Spring Creek Cross-Section TM 13,Spring Creek Cross-Section TM 13 - WSI rebar
TO casing,TO casing,34.5,Yes,,{CCC47BB7-59FA-4845-A547-1DE0B55C2E61},NWFWMD-MIDWAY APT PRODUCTION,NWFWMD-MIDWAY APT PRODUCTION - TO casing
Staff,Staff,0.0,Yes,,{2695D4F4-EB31-4AB8-B458-0B661C2628FF},ECONFINA CREEK @ WALSINGHAM BRIDGE,ECONFINA CREEK @ WALSINGHAM BRIDGE - Staff
TO sanitary seal,TO sanitary seal,177.4,Yes,,{87E4B4DA-D089-4FE5-AE68-DC9E7F0E9A61},EAFB R52N ROAD #200,EAFB R52N ROAD #200 - TO sanitary seal
TO 10 inch protective steel casing,TO 10 inch protective steel casing,37.8,Yes,,{ABAA9E6A-DE05-48E1-8FF1-AB8F2A797AEA},NWFWMD-SEAGROVE DEEP FLORIDAN,NWFWMD-SEAGROVE DEEP FLORIDAN - TO 10 inch protective steel casing
Hole in TO well cap,Hole in TO well cap,143.59,Yes,,{463EC15F-63D4-45AB-842C-C3D92D501D2D},USGS TH-13,USGS TH-13 - Hole in TO well cap
Top of 1 inch galvanized pipe nipple,Top of 1 inch galvanized pipe nipple,200.0,Yes,,{FD36506A-57B8-49F6-BF32-EEB502AC9A4E},TALL TIMBERS RESEARCH,TALL TIMBERS RESEARCH - Top of 1 inch galvanized pipe nipple
TO PVC casing,TO PVC casing,26.0,Yes,,{0CC410A2-AAF5-47C3-960C-09E37FA65FD1},NWFWMD-QUINTETTE DEEP MPZ,NWFWMD-QUINTETTE DEEP MPZ - TO PVC casing
TO 2 inch steel casing,TO 2 inch steel casing,40.52,Yes,,{91C92648-E148-4F9A-A4BE-3F7C60465DAE},USGS #150A-LAKE BRADFORD,USGS #150A-LAKE BRADFORD - TO 2 inch steel casing
TO 2 inch PVC casing north side,TO 2 inch PVC casing north side,19.95,Yes,,{4B8F124B-EB10-46C5-B703-2A917FFEF795},APALACHICOLA #5 SURFICIAL MON.,APALACHICOLA #5 SURFICIAL MON. - TO 2 inch PVC casing north side
TO steel casing,TO steel casing,253.4,Yes,,{00A8F075-7636-4F3C-A7F8-CA377B28F18E},ARGYLE TOWER,ARGYLE TOWER - TO steel casing
Hole in turbine base,Hole in turbine base,12.5,Yes,,{A947B837-9C1B-4A32-9E98-026A9C2F1782},DWU #5 (503'--747'),DWU #5 (503'--747') - Hole in turbine base
Temp Ref point is 0.40ft above LSD,Temp Ref point is 0.40ft above LSD,11.9,Yes,,{AEAB6535-6A8A-4136-A438-0DF32645EFC7},DWU #5 (503'--747'),DWU #5 (503'--747') - Temp Ref point is 0.40ft above LSD
TO Hose bib,TO Hose bib,10.8,Yes,,{EDD1C56F-EA31-4F8B-A628-6AE9BDFB9473},NWFWMD-HUNT CLUB DEEP,NWFWMD-HUNT CLUB DEEP - TO Hose bib
Staff,Staff,10.0,Yes,,{29F8C6F6-9A51-44B4-85C1-8A45941E644D},ST. MARKS RIVER - UPPER DISCHARGE BEFORE SWALLET,ST. MARKS RIVER - UPPER DISCHARGE BEFORE SWALLET - Staff
TO nail in tree upstream of station,TO nail in tree upstream of station,14.87,Yes,,{A209FF6F-2A8E-484F-950D-031E0493C042},ST. MARKS RIVER - UPPER DISCHARGE BEFORE SWALLET,ST. MARKS RIVER - UPPER DISCHARGE BEFORE SWALLET - TO nail in tree upstream of station
TO hole in recorder mounting plate,TO hole in recorder mounting plate,93.06,Yes,,{8E36B67E-37B9-4A89-9431-4BEB96755BAA},NW BAY CTY - SITE #1 IAS MONITOR,NW BAY CTY - SITE #1 IAS MONITOR - TO hole in recorder mounting plate
TO 4 inch PVC casing,TO 4 inch PVC casing,117.54,Yes,,{AB5AE080-86E8-4B94-AA26-7BA9EB01399D},CHIPOLA WMA #1,CHIPOLA WMA #1 - TO 4 inch PVC casing
Staff below bridge,Staff below bridge,50.98,Yes,,{54E489B5-C1CB-40EB-9FF8-E1812AF90FE2},Still Creek at Capitola Rd,Still Creek at Capitola Rd - Staff below bridge
TO 4 inch PVC casing,TO 4 inch PVC casing,19.05,Yes,1.0,{206A6AB9-D48C-4BC1-8304-E24B30EDD5D2},NWFWMD-PORT ST JOE SHALLOW INTERMED,NWFWMD-PORT ST JOE SHALLOW INTERMED - TO 4 inch PVC casing
Staff,Staff,178.37,Yes,,{ACB858EB-3016-4C96-9635-5560A71F7976},Compass Lake @ Staff Gauge,Compass Lake @ Staff Gauge - Staff
TO 4 inch PVC casing,TO 4 inch PVC casing,160.35,Yes,,{B405DDDF-0896-4D20-9F5E-B97662DE4E8B},NWFWMD GW-5F (LEON CTY VFD)/S814,NWFWMD GW-5F (LEON CTY VFD)/S814 - TO 4 inch PVC casing
TO 12 inch steel protective casing,TO 12 inch steel protective casing,21.65,Yes,,{A25D42A6-3701-4C96-A8B7-3688D8A8E5B8},NWFWMD A-4A (UPPER UFA MONITOR),NWFWMD A-4A (UPPER UFA MONITOR) - TO 12 inch steel protective casing
TO 6 inch PVC casing,TO 6 inch PVC casing,21.39,Yes,,{E2A1F914-CA3C-4229-AF8B-F71D0B6B01FD},NWFWMD A-4A (UPPER UFA MONITOR),NWFWMD A-4A (UPPER UFA MONITOR) - TO 6 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,88.46,Yes,,{A61B1AC3-5E47-47D0-8310-F424B0AA8F5C},NWFWMD-BRENTWOOD PARK MPZ,NWFWMD-BRENTWOOD PARK MPZ - TO 4 inch PVC casing
TO 4 inch steel casing,TO 4 inch steel casing,155.76,Yes,,{090C82FE-50F6-4760-87BD-8E9243FD3582},DITTY JC-3 (JK-30),DITTY JC-3 (JK-30) - TO 4 inch steel casing
TO sanitary seal,TO sanitary seal,80.84,Yes,,{E6FE2C08-2A65-45FA-B9CF-394771100C0E},EDDIE BARNES,EDDIE BARNES - TO sanitary seal
Hole with copper airline,Hole with copper airline,91.26,Yes,,{5A1014F8-2370-4026-A711-338A4F106439},PONCE DE LEON #2,PONCE DE LEON #2 - Hole with copper airline
TO 12 inch steel protective casing,TO 12 inch steel protective casing,22.56,Yes,,{FCC16644-C13C-405E-AD75-0CFF78A04650},NWFWMD A-4 (LWR UFA MONITOR),NWFWMD A-4 (LWR UFA MONITOR) - TO 12 inch steel protective casing
TO 6 inch PVC casing,TO 6 inch PVC casing,21.97,Yes,,{278BF4B0-B4D6-4266-A340-E69D58B4C5DE},NWFWMD A-4 (LWR UFA MONITOR),NWFWMD A-4 (LWR UFA MONITOR) - TO 6 inch PVC casing
TO casing,TO casing,70.28,Yes,,{CDDD9F63-91D5-48C1-B9D8-B1C3D96C3F2C},USGS-422B NEAR GREENHEAD/Surficial,USGS-422B NEAR GREENHEAD/Surficial - TO casing
TO 4 inch PVC casing,TO 4 inch PVC casing,27.12,Yes,1.0,{4B9EC27F-7387-4A9B-9F5C-E1300434A7B5},C. DONAHUE DEEP / NITRATE POT. MAP,C. DONAHUE DEEP / NITRATE POT. MAP - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,77.7,Yes,,{9EC64A77-0809-420F-89AA-6DA0EDEF75D0},FGS-PINE LOG FOREST,FGS-PINE LOG FOREST - TO 4 inch PVC casing
2 inch access pipe with cap on East side of turbine pump,2 inch access pipe with cap on East side of turbine pump,20.0,Yes,,{E0F1105F-7614-423F-8521-2151F32A3764},APALACHICOLA #5,APALACHICOLA #5 - 2 inch access pipe with cap on East side of turbine pump
TO 4 inch PVC casing,TO 4 inch PVC casing,13.99,Yes,,{15A53CF0-0901-433D-AFE2-A72ED708DDB0},NWFWMD - White City SAS-M1,NWFWMD - White City SAS-M1 - TO 4 inch PVC casing
Top of 4 inch steel extension,Top of 4 inch steel extension,117.41,Yes,,{BBC1B69A-9FB5-4804-970B-FFEC70256581},FAF #79,FAF #79 - Top of 4 inch steel extension
1.25 inch pipe- Right of transducer,1.25 inch pipe- Right of transducer,72.68,Yes,,{056CAFBB-DD30-4BD2-819D-F9AE0A725BF9},LAKE KILLARNY AT MCLAUGHLIN DRIVE,LAKE KILLARNY AT MCLAUGHLIN DRIVE - 1.25 inch pipe- Right of transducer
1st pipe from enclosure,1st pipe from enclosure,76.25,Yes,,{F67FBEBC-77E1-42EC-B463-920EF5CB4714},LAKE KILLARNY AT MCLAUGHLIN DRIVE,LAKE KILLARNY AT MCLAUGHLIN DRIVE - 1st pipe from enclosure
2nd pipe from enclosure,2nd pipe from enclosure,74.21,Yes,,{06B28629-D1FE-4A3D-B753-5A6B31A31171},LAKE KILLARNY AT MCLAUGHLIN DRIVE,LAKE KILLARNY AT MCLAUGHLIN DRIVE - 2nd pipe from enclosure
TO 4 inch PVC casing,TO 4 inch PVC casing,138.84,Yes,,{5F50FCD1-48E3-42C1-BA23-980C9CC82446},NWFWMD-PORTER POND EAST,NWFWMD-PORTER POND EAST - TO 4 inch PVC casing
TO 12 inch steel protective casing,TO 12 inch steel protective casing,54.4,Yes,,{7DCC0BA2-4635-415C-B0D6-E7820A4D5977},NWFWMD A-3 (LWR UFA MONITOR),NWFWMD A-3 (LWR UFA MONITOR) - TO 12 inch steel protective casing
TO 6 inch PVC casing,TO 6 inch PVC casing,54.07,Yes,,{365D3440-C562-4BEA-B7A4-5DD7A833A2C3},NWFWMD A-3 (LWR UFA MONITOR),NWFWMD A-3 (LWR UFA MONITOR) - TO 6 inch PVC casing
TO PVC above steel piping and sanitary seal,TO PVC above steel piping and sanitary seal,77.2,Yes,,{144855F7-369B-4265-805B-1747425BF154},PLEASANT VALLEY CHURCH,PLEASANT VALLEY CHURCH - TO PVC above steel piping and sanitary seal
TO sanitary seal,TO sanitary seal,101.27,Yes,,{54CC6290-5286-4247-A95B-853025B57D54},W.R. BUCKHALTER,W.R. BUCKHALTER - TO sanitary seal
TO 10 inch square aluminum protective casing,TO 10 inch square aluminum protective casing,54.65,Yes,,{FCA350D1-3DBB-41F1-9638-F7E85AC6A529},NWFWMD A-3B (SURFICIAL MONITOR),NWFWMD A-3B (SURFICIAL MONITOR) - TO 10 inch square aluminum protective casing
TO 4 inch PVC casing,TO 4 inch PVC casing,54.36,Yes,,{78F32665-A6B8-4423-B667-D79138FE1F12},NWFWMD A-3B (SURFICIAL MONITOR),NWFWMD A-3B (SURFICIAL MONITOR) - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,18.58,Yes,,{2EDF6ED3-C71A-47E0-807C-82BBFD015E02},NWFWMD-NITRATE #2,NWFWMD-NITRATE #2 - TO 4 inch PVC casing
TO 6 inch steel casing,TO 6 inch steel casing,13.98,Yes,,{F6AE6F0D-D4AD-4188-97A9-49C1353A07C7},DWU-4048 INDIAN TRAIL MO#1,DWU-4048 INDIAN TRAIL MO#1 - TO 6 inch steel casing
TO 4 inch PVC casing,TO 4 inch PVC casing,264.66,Yes,,{593482C1-6104-4590-B933-8EBCFA684E6C},NWFWMD-JACKSON STILL FLORIDAN,NWFWMD-JACKSON STILL FLORIDAN - TO 4 inch PVC casing
TO PVC casing,TO PVC casing,272.04,Yes,,{4C6D5063-2E2F-4BFA-9AA6-786ED21DA004},NWFWMD SR-2D,NWFWMD SR-2D - TO PVC casing
N side of open pipe,N side of open pipe,7.5,Yes,,{D8EA3A12-3EE6-4F7C-AA89-5D70765B6F41},SELMA MADARA / USGS WALTON #9,SELMA MADARA / USGS WALTON #9 - N side of open pipe
TO hose bib,TO hose bib,7.5,Yes,,{6297EB98-8C04-41CA-8F67-CDDEEA09DE8C},SELMA MADARA / USGS WALTON #9,SELMA MADARA / USGS WALTON #9 - TO hose bib
TO 2 inch PVC casing,TO 2 inch PVC casing,236.5,Yes,,{4930377C-75B1-41A6-B4ED-24A865299F12},NWFWMD-OAK GROVE SZ,NWFWMD-OAK GROVE SZ - TO 2 inch PVC casing
Metal pipe below conduit pipe- under water,Metal pipe below conduit pipe- under water,10.0,Yes,,{0AA905F6-2FFA-443C-9C77-B72E922B5949},BURNT GROCERY CREEK/S580,BURNT GROCERY CREEK/S580 - Metal pipe below conduit pipe- under water
Concrete pad,Concrete pad,10.99,Yes,,{17258E56-B88A-486B-95F6-F2D85D314C1D},BUCKEYE CELLULOSE 41,BUCKEYE CELLULOSE 41 - Concrete pad
TO PVC slip coupling,TO PVC slip coupling,201.86,Yes,,{E3554039-E41F-4778-A5E6-C02ABD014730},HOLT #1,HOLT #1 - TO PVC slip coupling
Staff,Staff,10.0,Yes,,{2412A4DF-45CB-494E-BBC0-193748ADDFEB},CHIPOLA RIVER @ LANDS LANDING,CHIPOLA RIVER @ LANDS LANDING - Staff
TO base of recorder box,TO base of recorder box,194.73,Yes,,{6D792AC5-0366-42C0-AF73-CC1AEE82E9FD},USGS-OLSON RD./S677,USGS-OLSON RD./S677 - TO base of recorder box
TO sanitary seal,TO sanitary seal,100.32,Yes,,{12A9475B-A43C-412D-ABC9-EF062A62B441},ELTON CRUTCHFIELD,ELTON CRUTCHFIELD - TO sanitary seal
Top of Spigot,Top of Spigot,3.8,Yes,1.0,{87D1DECB-E3A6-4440-B140-0352D311E03C},POINT WASHINGTON/MCGEE,POINT WASHINGTON/MCGEE - Top of Spigot
Alum plate,Alum plate,51.39,Yes,,{921D41AE-34E0-4711-BFCF-DDD9F4672D88},CHIPOLA RIVER @ SR 71,CHIPOLA RIVER @ SR 71 - Alum plate
TO 4 inch PVC casing,TO 4 inch PVC casing,121.1,Yes,,{87089BE6-FA62-42F8-A96C-1507A0A3F1AC},OKALOOSA ASPHALT,OKALOOSA ASPHALT - TO 4 inch PVC casing
TO 12 inch steel protective casing north side,TO 12 inch steel protective casing north side,21.68,Yes,,{4A82953A-C56E-4A87-B5F6-2E6C5AD3E6C8},NWFWMD JEFF SANDERS RD. TH-4,NWFWMD JEFF SANDERS RD. TH-4 - TO 12 inch steel protective casing north side
Top of 4 inch steel protective casing,Top of 4 inch steel protective casing,91.44,Yes,,{83CE4E73-435E-4198-B8D3-098C1D62BCBA},EAFB FLD#4 (S&G),EAFB FLD#4 (S&G) - Top of 4 inch steel protective casing
TO 2 inch PVC casing,TO 2 inch PVC casing,202.25,Yes,,{AF9FCB23-C931-4642-8794-AFC7352DBE4E},FGS-NWFWMD HQ INTERMEDIATE,FGS-NWFWMD HQ INTERMEDIATE - TO 2 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,29.66,Yes,,{B85F466D-E350-4CBE-933A-EAB75EF65860},NWFWMD-NITRATE #6/S797,NWFWMD-NITRATE #6/S797 - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,267.5,Yes,,{45E8BE27-B52E-4009-8A57-7757D62315C4},JEMCO WELL,JEMCO WELL - TO sanitary seal
Staff,Staff,-0.06,Yes,,{A85CAB57-7F0B-46DD-AEB8-35F3D2B6891F},St. Marks River @ San Marcos de Apalachee S.P.,St. Marks River @ San Marcos de Apalachee S.P. - Staff
TO sanitary seal,TO sanitary seal,279.1,Yes,,{BE092FFD-299F-41A7-ACCC-2BB45D5E1793},RAY PETER,RAY PETER - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,138.38,Yes,,{7FAA24AE-E01B-4AB0-855B-54E6BE5E9B78},NWFWMD-SECTION 20,NWFWMD-SECTION 20 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,128.76,Yes,,{C696BC8F-AD5D-4DF9-9784-7658F694EA54},NWFWMD-PITTMAN VISA/S661,NWFWMD-PITTMAN VISA/S661 - TO 4 inch PVC casing
TO 10 inch steel inner casing,TO 10 inch steel inner casing,22.99,Yes,,{616B8E2C-9A9D-4792-B49F-C2C464FE116F},NWFWMD-TRACTOR RD. (C-2) TH-2,NWFWMD-TRACTOR RD. (C-2) TH-2 - TO 10 inch steel inner casing
TO 12 inch protective casing,TO 12 inch protective casing,25.04,Yes,,{AFFFADE7-4D33-472B-9262-87AD60E0A4AD},NWFWMD-TRACTOR RD. (C-2) TH-2,NWFWMD-TRACTOR RD. (C-2) TH-2 - TO 12 inch protective casing
TO 2 inch PVC casing,TO 2 inch PVC casing,42.14,Yes,,{52DB78AE-E6C8-4025-BFD6-A2ECDA7AFD72},NWFWMD-BALL PARK SZ,NWFWMD-BALL PARK SZ - TO 2 inch PVC casing
TO 6 inch protective casing,TO 6 inch protective casing,17.38,Yes,,{CAFB1DB7-96BA-4CF4-9393-2172A75FB2D4},GAME CHECK STATION,GAME CHECK STATION - TO 6 inch protective casing
TO 4 inch PVC casing,TO 4 inch PVC casing,169.8,Yes,,{8F7A5134-B3DF-433F-B4FA-22D31CB2F3FB},NWFWMD GW-2F-UZ (FT BRADEN)/S826,NWFWMD GW-2F-UZ (FT BRADEN)/S826 - TO 4 inch PVC casing
Hole in PVC cap on well,Hole in PVC cap on well,258.66,Yes,,{46703B5F-EC28-4356-A42A-99676D960B46},REGISTER/OLD GARLAND,REGISTER/OLD GARLAND - Hole in PVC cap on well
Ch square on bridge,Ch square on bridge,55.28,Yes,,{2CF2496B-F1DC-4303-B923-2CA4902B8639},FISHER CREEK @ SPRINGHILL RD.,FISHER CREEK @ SPRINGHILL RD. - Ch square on bridge
1st 1.75 inch pipe from station,1st 1.75 inch pipe from station,74.14,Yes,,{4F13BB4B-F3C4-44C4-A9E6-8DDD056CB587},LAKE KANTURK AT CLIFDEN DR,LAKE KANTURK AT CLIFDEN DR - 1st 1.75 inch pipe from station
2nd 1.75 inch pipe from station,2nd 1.75 inch pipe from station,72.15,Yes,,{FBC2E2B7-7505-4495-B7A6-377B8B82388D},LAKE KANTURK AT CLIFDEN DR,LAKE KANTURK AT CLIFDEN DR - 2nd 1.75 inch pipe from station
TO 4 inch PVC casing,TO 4 inch PVC casing,30.85,Yes,,{8D933BF7-BCB8-40D0-BB3F-F34DF5D54C40},NWFWMD-NITRATE #5/S796,NWFWMD-NITRATE #5/S796 - TO 4 inch PVC casing
Ch Square on North wing wall,Ch Square on North wing wall,103.31,Yes,,{B7233CD6-30F8-42B1-818E-3C2DEE459A8C},Lake Iamonia Outfall at Meridian Rd,Lake Iamonia Outfall at Meridian Rd - Ch Square on North wing wall
Ch square,Ch square,101.0,Yes,,{A37200B4-5096-4AD2-915C-E8866EF22F22},LAKE JACKSON FACILITY AKA 64/606,LAKE JACKSON FACILITY AKA 64/606 - Ch square
TO east side locking cap at black mark,TO east side locking cap at black mark,72.3,Yes,,{1A3E75B7-1B1B-4171-BD6E-6B567C2079DA},SPRING CREEK @ SPRING CREEK PARK,SPRING CREEK @ SPRING CREEK PARK - TO east side locking cap at black mark
TO PVC casing,TO PVC casing,225.31,Yes,,{C3D4E6F4-87FF-4928-BF70-79DCCA3DBC35},MONTICELLO DOF #J4 - FAS DEEP,MONTICELLO DOF #J4 - FAS DEEP - TO PVC casing
Hole in top of 4 inch steel casing,Hole in top of 4 inch steel casing,7.82,Yes,,{7E159946-E589-4ACC-9BF1-4D50957CB308},NWFWMD-LIZA JACKSON,NWFWMD-LIZA JACKSON - Hole in top of 4 inch steel casing
TO steel casing N side,TO steel casing N side,30.18,Yes,,{FA8BA35F-A4EF-4AAB-A3A5-39AB53453F98},COLONIAL PINES TRAILER PARK,COLONIAL PINES TRAILER PARK - TO steel casing N side
TO 1 inch PVC casing,TO 1 inch PVC casing,169.87,Yes,,{EBE144C7-C6E5-4A9C-AA8B-EF0932AFA9B4},NWFWMD GW-2F-LZ (FT BRADEN)/S802,NWFWMD GW-2F-LZ (FT BRADEN)/S802 - TO 1 inch PVC casing
TO 2 inch casing,TO 2 inch casing,264.97,Yes,,{04E1D829-22E2-4EBE-8EC1-C05633DCC487},NWFWMD-JACKSON STILL DEEP,NWFWMD-JACKSON STILL DEEP - TO 2 inch casing
TO 4 inch PVC casing,TO 4 inch PVC casing,137.93,Yes,,{2B57FAE4-ED84-4F4E-B2C0-7DE89D0D2E50},CYPRESS PARK #2 - SURFICIAL,CYPRESS PARK #2 - SURFICIAL - TO 4 inch PVC casing
TO 4 inch steel casing,TO 4 inch steel casing,21.3,Yes,,{2C2F4DC2-8A6A-4E6A-B924-1B525E4809A2},WAKULLA CORRECTIONAL INSTITUTE #1/S779,WAKULLA CORRECTIONAL INSTITUTE #1/S779 - TO 4 inch steel casing
TO 2 inch PVC casing,TO 2 inch PVC casing,271.1,Yes,,{60C41763-4CF2-4CFA-BF1C-73CDBCE42053},NWFWMD-SAND HILL TOWER SHALLOW,NWFWMD-SAND HILL TOWER SHALLOW - TO 2 inch PVC casing
TO sanitary seal,TO sanitary seal,3.55,Yes,,{A60CAA8B-CABA-4B82-8F53-329F2EA0A114},FGS-LALONDE #1,FGS-LALONDE #1 - TO sanitary seal
TO hole in recorder mounting plate,TO hole in recorder mounting plate,93.65,Yes,,{990AD71B-E9D5-4E0C-9729-9D6E8CD14AD6},NW BAY CTY - SITE #3 UFA MONITOR #1/S746,NW BAY CTY - SITE #3 UFA MONITOR #1/S746 - TO hole in recorder mounting plate
TO 2 inch PVC casing,TO 2 inch PVC casing,235.7,Yes,,{5BFC384E-5E20-4A75-B2AB-E9EEDDB66CE8},NWFWMD-OAK GROVE MPZ,NWFWMD-OAK GROVE MPZ - TO 2 inch PVC casing
TO sanitary seal,TO sanitary seal,210.59,Yes,,{40E176AF-4FAF-414B-B23A-C19CC4303AE4},L. WALSINGHAM,L. WALSINGHAM - TO sanitary seal
1 inch steel pipe attached to transducer conduit,1 inch steel pipe attached to transducer conduit,25.94,Yes,,{58B7A723-002D-4261-BC4D-7042CC84DE68},MUNSON SLOUGH @ CAPITAL CIRCLE,MUNSON SLOUGH @ CAPITAL CIRCLE - 1 inch steel pipe attached to transducer conduit
Staff 1ft upstream of transducer,Staff 1ft upstream of transducer,25.37,Yes,,{62A052A8-7D1D-45C3-AE5A-78144DA923AF},MUNSON SLOUGH @ CAPITAL CIRCLE,MUNSON SLOUGH @ CAPITAL CIRCLE - Staff 1ft upstream of transducer
TO threaded pipe in center of steel plate,TO threaded pipe in center of steel plate,178.61,Yes,,{24610007-4B4C-4D2F-8EE3-6DED3714DE35},EAFB FLD #5 WELL #2,EAFB FLD #5 WELL #2 - TO threaded pipe in center of steel plate
TO 2 inch plug,TO 2 inch plug,56.93,Yes,,{1061B9C7-B98A-41EF-BE4D-56DD31F6222C},USGS TH-6,USGS TH-6 - TO 2 inch plug
2nd metal pipe from station box,2nd metal pipe from station box,0.93,Yes,,{E166BE03-5938-4875-9A48-171F9299B079},SEARCY CREEK @ WHITE CITY,SEARCY CREEK @ WHITE CITY - 2nd metal pipe from station box
TO locking cap,TO locking cap,27.95,Yes,,{7A2573EC-279D-4C5E-83CB-F443167D0A7C},EASTPOINT WWTF MW#6,EASTPOINT WWTF MW#6 - TO locking cap
TO PVC casing north side,TO PVC casing north side,27.95,Yes,,{055C5867-EEA8-43CE-BE77-FAFD10F19C7B},EASTPOINT WWTF MW#6,EASTPOINT WWTF MW#6 - TO PVC casing north side
TO sanitary seal,TO sanitary seal,121.3,Yes,,{9F453BA9-D255-4F02-B05B-CCE0AF691C64},ED ROGERS #2,ED ROGERS #2 - TO sanitary seal
TO 3 inch PVC casing,TO 3 inch PVC casing,201.87,Yes,,{587D309B-2ADD-4BFE-99CE-0626334A22DF},NWFWMD-HQ SURFICIAL,NWFWMD-HQ SURFICIAL - TO 3 inch PVC casing
TO hole in recorder mounting plate,TO hole in recorder mounting plate,93.39,Yes,,{07194B97-1D35-4DA7-A734-0FBEF021EAF9},NW BAY CTY - SITE #1 SAS MONITOR,NW BAY CTY - SITE #1 SAS MONITOR - TO hole in recorder mounting plate
TO 4 inch PVC casing,TO 4 inch PVC casing,18.85,Yes,,{91CB2B34-89B0-4BFE-AA9F-BB23B16398C2},NWFWMD-NITRATE #1,NWFWMD-NITRATE #1 - TO 4 inch PVC casing
TO vent hole,TO vent hole,97.78,Yes,,{8521D2F2-C221-4DC3-8F83-8DD3A2BE8E11},STATE HATCHERY #3,STATE HATCHERY #3 - TO vent hole
TO cap North side of threaded hole,TO cap North side of threaded hole,214.4,Yes,,{A96023F0-9686-4247-986B-8B1CB7D4AC87},ST JOE PAPER TOWER,ST JOE PAPER TOWER - TO cap North side of threaded hole
Alum angle,Alum angle,53.17,Yes,,{D1D9161E-D785-4F30-B0FC-28F23F785591},ALFORD ARM TRIB@BUCK,ALFORD ARM TRIB@BUCK - Alum angle
TO threaded pipe,TO threaded pipe,20.48,Yes,,{2F0759ED-8684-48A0-90B0-098479129DE9},EPWSD #4,EPWSD #4 - TO threaded pipe
TO 6 inch PVC casing,TO 6 inch PVC casing,85.0,Yes,,{25EC7137-F507-4813-A355-B0697058787C},NW BAY CTY - SITE #2 UFA MONITOR/S718,NW BAY CTY - SITE #2 UFA MONITOR/S718 - TO 6 inch PVC casing
TO 3 inch steel casing,TO 3 inch steel casing,66.02,Yes,,{00C63F90-420C-4474-B8D4-3F1392C254BA},NWFWMD-MUSCOGEE SZ,NWFWMD-MUSCOGEE SZ - TO 3 inch steel casing
Ch Square top of headwall,Ch Square top of headwall,20.0,Yes,,{A12C651C-FD47-4C21-A67C-3C8B96923749},EAST DRAINAGE DITCH AT ORANGE AVE - COT,EAST DRAINAGE DITCH AT ORANGE AVE - COT - Ch Square top of headwall
TO sanitary seal,TO sanitary seal,236.1,Yes,,{6B92C51A-4456-4F52-8123-DCDBE7AE6111},CARL FRYER,CARL FRYER - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,116.15,Yes,,{C7BA3305-8634-48EF-AEDC-1DC4BFB7A275},NWFWMD-RED ROCK DEEP,NWFWMD-RED ROCK DEEP - TO 4 inch PVC casing
TO vent pipe,TO vent pipe,12.6,Yes,,{C2A28D0C-C6A8-4D3C-AD23-FFF31A59412C},EAFB WHITE POINT #3,EAFB WHITE POINT #3 - TO vent pipe
TO 4 inch PVC casing,TO 4 inch PVC casing,108.51,Yes,1.0,{09A50C46-5FB6-4584-919A-2659679B7659},NWFWMD-OTTER CAMP INT. SAND/S823,NWFWMD-OTTER CAMP INT. SAND/S823 - TO 4 inch PVC casing
TO 10 inch aluminum protective casing,TO 10 inch aluminum protective casing,55.55,Yes,,{CA028106-39B7-4122-945C-7B267243F823},NWFWMD A-2B (SURFICIAL MONITOR),NWFWMD A-2B (SURFICIAL MONITOR) - TO 10 inch aluminum protective casing
TO 4 inch PVC casing,TO 4 inch PVC casing,55.45,Yes,,{5E21697C-9099-4699-B968-7BFFDC1E7842},NWFWMD A-2B (SURFICIAL MONITOR),NWFWMD A-2B (SURFICIAL MONITOR) - TO 4 inch PVC casing
TO PVC casing,TO PVC casing,248.02,Yes,,{D1922384-138B-49D8-8337-EDD17608EEE4},NWFWMD-ALLEN TOWER SHALLOW,NWFWMD-ALLEN TOWER SHALLOW - TO PVC casing
TO hole in recorder mounting plate,TO hole in recorder mounting plate,84.04,Yes,,{500FB92C-2FF3-43D4-8300-C5D53A74920D},NW BAY CTY - SITE #2 SAS MONITOR,NW BAY CTY - SITE #2 SAS MONITOR - TO hole in recorder mounting plate
Ch Square right of transducer,Ch Square right of transducer,108.09,Yes,,{323B5740-C601-4AE4-B7CB-AE1A2DE3A85C},LEON HIGH SCHOOL STORMWATER INLET,LEON HIGH SCHOOL STORMWATER INLET - Ch Square right of transducer
Ch Square SW corner of South headwall,Ch Square SW corner of South headwall,109.98,Yes,,{FC00DD27-D7EC-4D17-A01E-3E7FFCC0E9B6},LEON HIGH SCHOOL STORMWATER INLET,LEON HIGH SCHOOL STORMWATER INLET - Ch Square SW corner of South headwall
TO casing,TO casing,21.74,Yes,,{1292D9FF-A955-447D-A859-5328846191E2},EAFB NR CAMP RUCKER,EAFB NR CAMP RUCKER - TO casing
